Shape Class,Filename,Number of Vertices,Number of Faces,Face Types,Bounding Box Min,Bounding Box Max
AircraftBuoyant,m1337.obj,201,340,Only triangles,[0.025 0.025 0.025],[0.88923401 0.97500002 0.88923401]
AircraftBuoyant,m1338.obj,8761,16960,Only triangles,[0.025 0.025 0.025],[0.93305802 0.97500002 0.93790102]
AircraftBuoyant,m1339.obj,1878,6173,Only triangles,[0.025 0.025 0.025],[0.607072   0.97500002 0.62681198]
AircraftBuoyant,m1340.obj,778,1457,Only triangles,[0.025 0.025 0.025],[0.367686   0.97500002 0.36768901]
AircraftBuoyant,m1341.obj,425,824,Only triangles,[0.025 0.025 0.025],[0.37957501 0.97500002 0.37957501]
AircraftBuoyant,m1342.obj,1252,2305,Only triangles,[0.025 0.025 0.025],[0.61158699 0.97500002 0.60935998]
AircraftBuoyant,m1343.obj,178,344,Only triangles,[0.025 0.025 0.025],[0.71092099 0.97500002 0.71092099]
AircraftBuoyant,m1344.obj,1093,1930,Only triangles,[0.025 0.025 0.025],[0.67409903 0.97500002 0.67409998]
AircraftBuoyant,m1345.obj,3174,6000,Only triangles,[0.025 0.025 0.025],[0.60127699 0.97500002 0.60127699]
AircraftBuoyant,m1346.obj,742,1375,Only triangles,[0.025 0.025 0.025],[0.322079   0.354725   0.97500002]
AircraftBuoyant,m1347.obj,3055,6274,Only triangles,[0.025 0.025 0.025],[0.31208599 0.41988099 0.97500002]
AircraftBuoyant,m1348.obj,795,1382,Only triangles,[0.025 0.025 0.025],[0.321693   0.354958   0.97500002]
AircraftBuoyant,m1349.obj,432,640,Only triangles,[0.025 0.025 0.025],[0.97500002 0.385203   0.27364799]
AircraftBuoyant,m1350.obj,1097,1976,Only triangles,[0.025 0.025 0.025],[0.97500002 0.29131699 0.305022  ]
AircraftBuoyant,m1351.obj,12987,24466,Only triangles,[0.025 0.025 0.025],[0.20829999 0.219243   0.97500002]
AircraftBuoyant,m1352.obj,3298,6348,Only triangles,[0.025 0.025 0.025],[0.97500002 0.37664199 0.33262101]
Apartment,D00045.obj,14865,21021,Only triangles,[-0.613186   -0.70091498 -0.53201699],[0.829027   0.77041501 0.35425299]
Apartment,D00086.obj,20493,42064,Only triangles,[-0.920883   -0.34348699 -0.41546899],[0.86316198 1.32482004 0.293879  ]
Apartment,D00138.obj,10827,21140,Only triangles,[-0.782682   -0.51453501 -0.317783  ],[0.77633899 0.63315701 0.19888499]
Apartment,D00156.obj,12732,19380,Only triangles,[-0.81948    -0.74207097 -0.66713798],[0.88116801 0.84283203 0.566733  ]
Apartment,D00310.obj,14464,9480,Only triangles,[-0.74465603 -0.38931599 -0.36877501],[1.03297997 0.49435699 0.339434  ]
Apartment,D00348.obj,2006,3008,Only triangles,[-0.94171    -0.40948999 -0.813025  ],[0.72545803 0.56641102 0.205192  ]
Apartment,D00366.obj,1294,2540,Only triangles,[-0.89546698 -0.85671502 -0.66391701],[0.74564397 0.59104002 0.52940202]
Apartment,D00478.obj,19857,25206,Only triangles,[-0.78062302 -0.760414   -0.47804299],[0.910492   0.404719   0.45136201]
Apartment,D00496.obj,7737,2579,Only triangles,[-0.64341903 -0.70465899 -0.34118801],[1.15353    0.87821603 0.259608  ]
Apartment,D00626.obj,73184,64688,Only triangles,[-0.885934   -0.59776902 -0.51237297],[0.90698701 0.33114001 0.38206601]
Apartment,D00639.obj,4849,7980,Only triangles,[-0.54281801 -0.54425901 -0.68787903],[1.14108002 0.50005901 0.44911599]
Apartment,D00651.obj,12732,19380,Only triangles,[-0.94885802 -0.95093101 -0.55663401],[0.91655898 0.90425098 0.66181803]
Apartment,D00681.obj,13823,15557,Only triangles,[-0.68167102 -0.79036301 -0.471744  ],[1.09452999 0.58759701 0.65609199]
Apartment,D00780.obj,8240,13684,Only triangles,[-0.97773099 -0.61823601 -0.189083  ],[0.78919899 0.44963899 0.33395001]
Apartment,D00792.obj,1327,1158,Only triangles,[-0.79516298 -0.96540898 -0.66929603],[1.10353994 0.96337599 0.85924602]
Apartment,D00859.obj,1378,2163,Only triangles,[-0.82417601 -0.69247299 -0.33127999],[1.07378995 0.61102498 0.21184599]
Apartment,D00860.obj,19857,25206,Only triangles,[-0.76492298 -0.76003402 -0.47475299],[0.927037   0.39991301 0.451175  ]
Apartment,D00869.obj,4930,9069,Only triangles,[-0.98451298 -0.52176499 -0.38064599],[0.68838298 0.64496201 0.55178499]
Apartment,D00921.obj,12842,7983,Only triangles,[-0.85070503 -0.487423   -0.55846697],[0.82260102 0.545748   0.55497801]
Apartment,D00953.obj,4158,7140,Only triangles,[-0.94920099 -0.82679898 -0.44488701],[0.66532099 0.896079   0.51871002]
Apartment,m463.obj,2022,3672,Only triangles,[0.025 0.025 0.025],[0.78502899 0.97500002 0.57476503]
