Shape Class,Filename,Number of Vertices,Number of Faces,Face Types,Bounding Box Min,Bounding Box Max
AircraftBuoyant,m1337.obj,10001,19994,Only triangles,[-0.44309899 -0.425053   -0.38349101],[0.55690098 0.475557   0.52266097]
AircraftBuoyant,m1338.obj,10002,19996,Only triangles,[-0.56576103 -0.475492   -0.45978501],[0.434239   0.47710001 0.49286401]
AircraftBuoyant,m1339.obj,7585,20922,Only triangles,[-0.324637   -0.31104699 -0.30967599],[0.675363   0.31094399 0.31160399]
AircraftBuoyant,m1340.obj,10003,19991,Only triangles,[-0.28874201 -0.17429    -0.176349  ],[0.71125799 0.180208   0.17816199]
AircraftBuoyant,m1341.obj,10000,19986,Only triangles,[-0.33335301 -0.18528099 -0.185045  ],[0.66664702 0.18653101 0.186766  ]
AircraftBuoyant,m1342.obj,9999,19930,Only triangles,[-0.170881   -0.30424401 -0.29482099],[0.82911903 0.31247401 0.32992101]
AircraftBuoyant,m1343.obj,10001,19990,Only triangles,[-0.44942901 -0.32701901 -0.35460001],[0.55057102 0.37693    0.35119   ]
AircraftBuoyant,m1344.obj,10040,19950,Only triangles,[-0.29331899 -0.33575699 -0.34167501],[0.70668101 0.35158899 0.34570199]
AircraftBuoyant,m1345.obj,10075,19913,Only triangles,[-0.621436   -0.30827099 -0.32406199],[0.378564   0.29726601 0.281409  ]
AircraftBuoyant,m1346.obj,9906,19978,Only triangles,[-0.443928   -0.16968501 -0.159127  ],[0.556072   0.172747   0.15295599]
AircraftBuoyant,m1347.obj,9948,20057,Only triangles,[-0.54883498 -0.14042699 -0.15037499],[0.45116499 0.27517    0.150769  ]
AircraftBuoyant,m1348.obj,9725,20029,Only triangles,[-0.55611199 -0.173921   -0.160235  ],[0.44388801 0.16653299 0.15061601]
AircraftBuoyant,m1349.obj,8416,19924,Only triangles,[-0.478434 -0.129206 -0.134234],[0.52156597 0.21878099 0.130914  ]
AircraftBuoyant,m1350.obj,10008,19990,Only triangles,[-0.36215901 -0.13945299 -0.0818308 ],[0.63784099 0.139043   0.24861   ]
AircraftBuoyant,m1351.obj,10116,19152,Only triangles,[-0.30706099 -0.0963655  -0.0716383 ],[0.69293898 0.0963005  0.1646    ]
AircraftBuoyant,m1352.obj,10013,19986,Only triangles,[-0.45810899 -0.18861499 -0.157831  ],[0.54189098 0.185513   0.16986801]
Apartment,D00045.obj,10082,18246,Only triangles,[-0.50157601 -0.483538   -0.246002  ],[0.477559   0.51646203 0.24852601]
Apartment,D00086.obj,10292,20811,Only triangles,[-0.500907   -0.17475501 -0.139249  ],[0.499093 0.748649 0.155678]
Apartment,D00138.obj,9897,19812,Only triangles,[-0.445721  -0.222909  -0.0868755],[0.55427903 0.51633102 0.24819501]
Apartment,D00156.obj,9544,15995,Only triangles,[-0.49976    -0.46928301 -0.360522  ],[0.50024003 0.31234199 0.34409499]
Apartment,D00310.obj,4028,11501,Only triangles,[-0.45495099 -0.23996    -0.188131  ],[0.54504901 0.288735   0.196182  ]
Apartment,D00348.obj,10051,19726,Only triangles,[-0.49878401 -0.31298199 -0.122443  ],[0.50121599 0.264893   0.49413699]
Apartment,D00366.obj,9999,20001,Only triangles,[-0.452775   -0.378732   -0.37366799],[0.547225   0.46763799 0.43446401]
Apartment,D00478.obj,9472,15115,Only triangles,[-0.496189 -0.289294 -0.200968],[0.503811 0.378912 0.30539 ]
Apartment,D00496.obj,6074,20881,Only triangles,[-0.37834999 -0.32313699 -0.175906  ],[0.396213   0.67686301 0.21334399]
Apartment,D00626.obj,5203,11256,Only triangles,[-0.48625499 -0.230289   -0.237442  ],[0.51374501 0.268132   0.23025601]
Apartment,D00639.obj,9911,20386,Only triangles,[-0.40820599 -0.31215101 -0.27207801],[0.59179401 0.328554   0.31580999]
Apartment,D00651.obj,9582,15967,Only triangles,[-0.499827   -0.47000101 -0.344035  ],[0.50017297 0.311676   0.36052999]
Apartment,D00681.obj,9456,15245,Only triangles,[-0.50153399 -0.33103001 -0.244541  ],[0.49846601 0.39247099 0.41284701]
Apartment,D00780.obj,10741,18807,Only triangles,[-0.545618   -0.25256401 -0.13394301],[0.454382 0.299153 0.155784]
Apartment,D00792.obj,8790,20040,Only triangles,[-0.44957301 -0.396034   -0.18132199],[0.55042702 0.53797901 0.49473   ]
Apartment,D00859.obj,9992,19644,Only triangles,[-0.46966201 -0.333101   -0.0943265 ],[0.53033799 0.28970799 0.23672   ]
Apartment,D00860.obj,9485,15113,Only triangles,[-0.49561799 -0.28821301 -0.202537  ],[0.50438201 0.37970501 0.305747  ]
Apartment,D00869.obj,9941,19763,Only triangles,[-0.50603902 -0.30662099 -0.246774  ],[0.49396101 0.308056   0.31527299]
Apartment,D00921.obj,5887,8953,Only triangles,[-0.640176   -0.24632099 -0.33829999],[0.359824   0.25139901 0.160962  ]
Apartment,D00953.obj,9290,19215,Only triangles,[-0.43179801 -0.51066101 -0.241053  ],[0.45553201 0.48933899 0.20946001]
Apartment,m463.obj,10073,19782,Only triangles,[-0.59781897 -0.394223   -0.46625599],[0.402181   0.42125201 0.47613901]
Apartment,m464.obj,10884,18406,Only triangles,[-0.55337399 -0.1749     -0.145586  ],[0.44662601 0.16969299 0.145161  ]
Apartment,m465.obj,10035,19863,Only triangles,[-0.30413601 -0.0922153  -0.123058  ],[0.69586402 0.176539   0.171407  ]
AquaticAnimal,m53.obj,10030,19779,Only triangles,[-0.65254599 -0.166721   -0.0483383 ],[0.34745401 0.173894   0.077226  ]
AquaticAnimal,m54.obj,10146,19397,Only triangles,[-0.35098499 -0.176144   -0.077685  ],[0.64901501 0.188201   0.110526  ]
AquaticAnimal,m55.obj,10070,19754,Only triangles,[-0.33485001 -0.178662   -0.0715323 ],[0.66514999 0.19496    0.0928066 ]
AquaticAnimal,m56.obj,10033,19908,Only triangles,[-0.28106499 -0.147741   -0.0751261 ],[0.71893501 0.21384899 0.0769257 ]
AquaticAnimal,m57.obj,10029,19897,Only triangles,[-0.33751801 -0.18485799 -0.0613668 ],[0.66248202 0.19608501 0.0627863 ]
AquaticAnimal,m58.obj,10000,19996,Only triangles,[-0.45632201 -0.27608299 -0.229194  ],[0.54367799 0.249514   0.30762801]
AquaticAnimal,m59.obj,600,20726,Only triangles,[-0.46931601 -0.105828   -0.108673  ],[0.53068399 0.0903447  0.0874993 ]
AquaticAnimal,m60.obj,10000,19996,Only triangles,[-0.344641   -0.17804199 -0.169342  ],[0.65535903 0.23067801 0.173933  ]
AquaticAnimal,m61.obj,9730,19976,Only triangles,[-0.60152    -0.24342699 -0.0879824 ],[0.39848   0.200625  0.0872654]
AquaticAnimal,m62.obj,10000,19996,Only triangles,[-0.56093299 -0.34801799 -0.0546631 ],[0.43906701 0.35341299 0.0552119 ]
AquaticAnimal,m63.obj,9934,19967,Only triangles,[-0.24667101 -0.32229701 -0.2053    ],[0.75332898 0.427845   0.475593  ]
AquaticAnimal,m64.obj,9674,19988,Only triangles,[-0.50818902 -0.24800999 -0.0792396 ],[0.49181101 0.299741   0.0823894 ]
AquaticAnimal,m65.obj,10003,19994,Only triangles,[-0.249532 -0.277473 -0.197432],[0.75046802 0.41016501 0.217674  ]
AquaticAnimal,m66.obj,9979,20059,Only triangles,[-0.60436702 -0.22849201 -0.25913799],[0.39563301 0.19645999 0.213635  ]
AquaticAnimal,m67.obj,10000,19996,Only triangles,[-0.433543   -0.17152099 -0.123297  ],[0.56645697 0.21189301 0.113365  ]
AquaticAnimal,m68.obj,9994,19988,Only triangles,[-0.49537399 -0.109276   -0.0912869 ],[0.50462598 0.173858   0.0803574 ]
AquaticAnimal,m69.obj,9953,19978,Only triangles,[-0.35255301 -0.17189801 -0.095053  ],[0.64744699 0.175574   0.167769  ]
AquaticAnimal,m70.obj,9951,19982,Only triangles,[-0.362665   -0.22275101 -0.17543299],[0.637335  0.227944  0.0769809]
AquaticAnimal,m71.obj,10000,19996,Only triangles,[-0.359837   -0.134573   -0.15882701],[0.640163   0.23451699 0.157736  ]
AquaticAnimal,m72.obj,9976,19984,Only triangles,[-0.37092701 -0.225457   -0.16734099],[0.62907302 0.227194   0.080971  ]
AquaticAnimal,m73.obj,9986,19998,Only triangles,[-0.417696   -0.27792299 -0.166023  ],[0.582304   0.34771699 0.203162  ]
AquaticAnimal,m74.obj,9839,20008,Only triangles,[-0.286654  -0.208501  -0.0908084],[0.713346 0.152145 0.225224]
AquaticAnimal,m75.obj,9816,19982,Only triangles,[-0.39502001 -0.27085599 -0.188246  ],[0.60497999 0.26295501 0.114802  ]
AquaticAnimal,m76.obj,9996,19998,Only triangles,[-0.28737101 -0.167193   -0.160065  ],[0.71262902 0.19861799 0.222819  ]
AquaticAnimal,m77.obj,10009,19884,Only triangles,[-0.415095   -0.22314601 -0.141847  ],[0.58490503 0.26234499 0.24120501]
AquaticAnimal,m78.obj,9709,19826,Only triangles,[-0.3601   -0.177478 -0.161881],[0.63990003 0.28404    0.22721501]
AquaticAnimal,m79.obj,9360,19932,Only triangles,[-0.57040298 -0.133384   -0.0693638 ],[0.42959699 0.15153299 0.183165  ]
AquaticAnimal,m80.obj,10009,19988,Only triangles,[-0.56069702 -0.18035001 -0.19280501],[0.43930301 0.21905901 0.0966312 ]
AquaticAnimal,m81.obj,9807,19929,Only triangles,[-0.56152397 -0.0973536  -0.20261601],[0.438476   0.19028901 0.202673  ]
Bed,D00031.obj,10011,19962,Only triangles,[-0.279917 -0.413845 -0.154377],[0.720083   0.47146001 0.190643  ]
Bed,D00110.obj,10040,19872,Only triangles,[-0.54847997 -0.34842199 -0.0743599 ],[0.45152    0.36138299 0.26983699]
Bed,D00121.obj,8111,16652,Only triangles,[-0.410198 -0.404695 -0.1101  ],[0.58980203 0.41469699 0.45967001]
Bed,D00184.obj,10056,19901,Only triangles,[-0.450573   -0.41925299 -0.22058199],[0.54942697 0.42249501 0.30405501]
Bed,D00210.obj,8093,16412,Only triangles,[-0.45264399 -0.43120801 -0.268765  ],[0.54735601 0.44967601 0.33389801]
Bed,D00213.obj,10003,19992,Only triangles,[-0.267279 -0.240778 -0.119531],[0.73272097 0.243558   0.232949  ]
Bed,D00217.obj,10023,19974,Only triangles,[-0.483648   -0.24849799 -0.123645  ],[0.516352 0.246939 0.208607]
Bed,D00307.obj,9997,19998,Only triangles,[-0.41836101 -0.347359   -0.0920643 ],[0.49782699 0.652641   0.246307  ]
Bed,D00322.obj,10042,20236,Only triangles,[-0.49871001 -0.21583401 -0.171028  ],[0.50129002 0.216429   0.311147  ]
Bed,D00417.obj,9561,19194,Only triangles,[-0.33905599 -0.36912799 -0.112434  ],[0.66094398 0.373494   0.26152   ]
Bed,D00538.obj,10022,19960,Only triangles,[-0.49806401 -0.32418299 -0.158594  ],[0.50193602 0.350299   0.23371001]
Bed,D00545.obj,9870,20006,Only triangles,[-0.482449   -0.37189201 -0.221379  ],[0.517551   0.36091501 0.237607  ]
